r,phi,R,rho
0.00692,0.08329,6.823021347,5.43E+19
1.04637,0.08214,1031.705903,5.28E+19
2.08581,0.07883,2056.578924,4.87E+19
3.12526,0.07371,3081.461806,4.25E+19
4.1647,0.06724,4106.334827,3.54E+19
5.20415,0.05997,5131.217709,2.82E+19
6.24359,0.0524,6156.09073,2.15E+19
7.28304,0.04497,7180.973612,1.58E+19
8.32248,0.03798,8205.846633,1.13E+19
9.36193,0.03164,9230.729514,7.84E+18
10.40137,0.02605,10255.60254,5.31E+18
11.44081,0.02122,11280.47556,3.53E+18
12.48026,0.01714,12305.35844,2.30E+18
13.51971,0.01374,13330.24132,1.48E+18
14.55915,0.01095,14355.11434,9.39E+17
15.59859,0.00867,15379.98736,5.89E+17
16.63803,0.00683,16404.86038,3.65E+17
17.67747,0.00536,17429.73341,2.25E+17
18.71693,0.00419,18454.62615,1.37E+17
19.0634,0.00386,18796.24063,1.17E+17
20.10285,0.003,19821.12351,7.05E+16
21.1423,0.00233,20846.00639,4.25E+16
,,21846.00639,4.25E+04
,,22846.00639,2.66E+03
,,23846.00639,5.25E+02
,,24846.00639,1.66E+02
,,25846.00639,6.80E+01
,,26846.00639,3.28E+01
,,27846.00639,1.77E+01
,,28846.00639,1.04E+01
,,29846.00639,6.48E+00
,,30846.00639,4.25E+00
,,31846.00639,2.90E+00
,,32846.00639,2.05E+00
,,33846.00639,1.49E+00
,,34846.00639,1.11E+00
,,35846.00639,8.40E-01
,,36846.00639,6.49E-01
,,37846.00639,5.09E-01
,,38846.00639,4.05E-01
,,39846.00639,3.26E-01
,,40846.00639,2.66E-01
,,41846.00639,2.19E-01
,,42846.00639,1.81E-01
,,43846.00639,1.52E-01
,,44846.00639,1.28E-01
,,45846.00639,1.09E-01
,,46846.00639,9.30E-02
,,47846.00639,8.00E-02
,,48846.00639,6.92E-02
,,49846.00639,6.01E-02
,,50846.00639,5.25E-02
,,51846.00639,4.60E-02
,,52846.00639,4.05E-02
,,53846.00639,3.58E-02
,,54846.00639,3.18E-02
,,55846.00639,2.83E-02
,,56846.00639,2.53E-02
,,57846.00639,2.27E-02
,,58846.00639,2.04E-02
,,59846.00639,1.84E-02
,,60846.00639,1.66E-02
,,61846.00639,1.50E-02
,,62846.00639,1.37E-02
,,63846.00639,1.24E-02
,,64846.00639,1.13E-02
,,65846.00639,1.04E-02
,,66846.00639,9.49E-03
,,67846.00639,8.71E-03
,,68846.00639,8.01E-03
,,69846.00639,7.37E-03
,,70846.00639,6.80E-03
,,71846.00639,6.28E-03
,,72846.00639,5.81E-03
,,73846.00639,5.39E-03
,,74846.00639,5.00E-03
,,75846.00639,4.65E-03
,,76846.00639,4.32E-03
,,77846.00639,4.03E-03
,,78846.00639,3.76E-03
,,79846.00639,3.51E-03
,,80846.00639,3.28E-03
,,81846.00639,3.07E-03
,,82846.00639,2.88E-03
,,83846.00639,2.70E-03
,,84846.00639,2.53E-03
,,85846.00639,2.38E-03
,,86846.00639,2.24E-03
,,87846.00639,2.11E-03
,,88846.00639,1.99E-03
,,89846.00639,1.88E-03
,,90846.00639,1.77E-03
,,91846.00639,1.67E-03
,,92846.00639,1.58E-03
,,93846.00639,1.50E-03
,,94846.00639,1.42E-03
,,95846.00639,1.34E-03
,,96846.00639,1.27E-03
,,97846.00639,1.21E-03
