 1580  1816  1816  1558  3127 
 2167  1529  1708  1337  3044 
 1904  1619  1790  1568  3153 
 2451  1435  1761  1307  3209 
 1662  1681  1561  1626  3079 
 1881  1504  1842  1784  3124 
 1606  1267  1316   865  2078 
 1559  1723  1803  1805  3205 
 2087  1640  1598  1312  3166 
 1853  1876  1401  1620  3125 
 1865  1679  1802  1413  3093 
 1571   851   705   839  1528 
 1975  1621  1926  1561  3226 
 2131  1517  1474  1679  3132 
 2147  1581  1942  1491  3308 
 1933  1982  1370  1616  3300 
 2084  1688  1773  1086  2967 
 1751  1757  1522  1666  3204 
 1915  1437  1947  1265  3003 
 1405  2116  1924  1372  3162 
 1607  1663  1781  1878  3320 
 2179  1606  1589  1362  3117 
 1892  1891  1603  1603  3239 
 2108  1730  1739  1437  3204 
 1748  1621  1878  1742  3296 
 2131  1630  1574  1397  3153 
 1490  1944  1661  1459  3185 
 1929  1748  1632  1203  2926 
 2051  1620  1628  1491  3204 
 1789  1983  1572  1405  3145 
 1861  1901  1699  1170  3128 
 2228  1497  1537  1738  3262 
 1479  1646  1932  1699  3209 
 2060  1602  1869  1247  3059 
 1834  1478  1884  1898  3287 
 2120  1509  1623  1745  3232 
 1976  1616  1361  1200  2917 
 2100  1806  1487  1594  3262 
 1623  1763  1697  1712  3153 
 1775  1613  1956  1773  3287 
 2056  1425  1752  1754  3241 
 2061  1662  1625  1640  3295 
 2216  1555  1790  1553  3261 
 1872  1560  1980  1686  3274 
 1941  1462  1303  1641  2861 
 2413  1604  1483  1196  3127 
 1618  1768  1882  1538  3129 
 2371  1537  1760  1413  3254 
 2066  1678  1405  1691  3211 
 1825  1929  1488  1473  3160 
 2077  1608  1646  1825  3243 
 1674  1818  1664  1649  3225 
 2160  1600  1698  1417  3192 
 2211  1671  1632  1511  3140 
 1845  1692  1683  1442  3140 
  924   671  1236   984  1606 
 1758  1531  1680  1333  3022 
 1732  1803  1577  1492  3097 
 1795  1675  1945  1517  3177 
 2210  1502  1714  1586  3278 
 1612  1749  2147  1269  3086 
 1838  1434  2207  1559  3166 
 2014  1689  1565  1474  3064 
 2129  1401  1860  1716  3340 
 1929  1535  1867  1353  3153 
 2199  1495  1651  1576  3251 
 1860  1622  1512  1603  2999 
 2010  1841  1295  1754  3166 
 1885  1865  1834  1191  3160 
 1867  1588  1845  1733  3204 
 1834  1685  2133  1481  3272 
 2133  1720  1623  1573  3167 
 2145  1772  1662  1331  3192 
 2040  1507  1612  1694  3189 
 1409  2074  1768  1481  3210 
 1813  1724  1891  1483  3175 
 1982  1695  1773  1260  3106 
 1822  1595  1654  1694  3148 
 2199  1469  1695  1665  3247 
 2073  1596  1527  1075  2941 
 1932  1592  1628  1819  3296 
 1845  1655  1798  1527  3159 
 2101  1397  2094  1534  3290 
 1864  1690  1432  1674  3088 
 1954  1787  1345  1522  3104 
  889   785   661   523  1060 
 1994  1575  1880  1573  3224 
 2126  1538  1559  1798  3299 
 1826  1681  1829  1378  3150 
 1626  1541  1913  1794  3118 
 1705  1604  1913  1590  3159 
 1873  2049  1540  1433  3132 
 2139  1421  1981  1533  3226 
 1894  1795  1693  1497  3211 
 2220  1539  1631  1681  3263 
 1716  1127  1127  1175  2245 
 1336   972  1059  1040  1818 
 2120  1434  1871  1336  3105 
 2037  1840  1592  1690  3222 
 1830  1995  1677  1293  3092 
 1824  1468  1784  1804  3134 
 1733  1720  1665  1550  3206 
 2146  1517  1425  1927  3234 
 1840  1627  1626  1511  3111 
 1760  2013  1478  1469  3074 
 2150  1668  1531  1297  3051 
  872   791  1006   521  1177 
 1968  1880  1784  1173  3207 
 1979  1501  1733  1833  3206 
 1913  1460  1624  1720  3194 
 1747  1948  1326  1712  3126 
 1933  1574  1733  1672  3199 
 2032  1712  1545  1654  3234 
 2018  1845  1570  1337  3141 
 1882  1874  1644  1378  3166 
 2089  1452  1875  1585  3252 
 1662  1827  1750  1726  3266 
 1693  1832  1476  1553  3066 
 1854  1693  1597  1663  3213 
 2170  1610  1575  1354  3161 
 2003  1630  2001  1502  3283 
 1865  1552  1857  1792  3284 
 1958  1477  2013  1601  3269 
 2027  1664  1493  1444  3096 
 2225  1594  1645  1600  3180 
 1986  1779  1649  1329  3112 
 1708  1537  1993  1845  3327 
 2098  1491  1746  1762  3334 
 1951  1558  1878  1466  3149 
 1650  1507  2015  1829  3202 
 1902  1620  1563  1615  3143 
 2188  1459  1968  1434  3214 
 1776  1591  1671  1604  3188 
 2003  1633  1538  1546  3140 
 2112  1496  1840  1621  3215 
 1845  1826  1577  1558  3213 
 1778  1523  1928  1610  3174 
 1758  1616  1883  1697  3161 
 1575  1725  1744  1936  3243 
 1904  1525  2014  1629  3195 
 2006  1803  1727  1282  3132 
 2127  1703  1426  1686  3230 
 1927  1845  1438  1656  3206 
 2265  1255  1909  1591  3233 
  740   934  1023   882  1380 
 2209  1562  1744  1430  3126 
 1961  1833  1527  1790  3282 
 2153  1590  1747  1331  3145 
 1912  1921  1678  1372  3172 
 1885  1611  1911  1467  3250 
 1805  1786  1727  1624  3238 
 1875  1706  1628  1744  3256 
 1846  1382  1747  1684  3143 
 1870  1785  1895  1479  3218 
 1354  1945  1832  1484  3121 
 1757  1730  1752  1523  3261 
 1770  1641  1577  1746  3139 
 1951  1608  1626  1486  3153 
 2072  1293  2053  1445  3107 
 1425   574   723   517  1230 
 2301  1276  1778  1525  3207 
 1334   664  1040   739  1510 
 2217  1501  1760  1305  3160 
 1657  1848  1694  1657  3164 
 1978  1780  1681  1594  3285 
 1919  1630  1751  1621  3233 
 2035  1665  1683  1578  3212 
 1867  1388  1545  1434  2728 
 2086  1694  1716  1620  3296 
 1988  1673  1657  1574  3242 
 2421  1563  1463  1435  3210 
 1391  1200   954  1067  1770 
 1992  1437  1821  1862  3182 
 2029  1616  1885  1480  3230 
 1852  1609  1727  1507  3176 
 1898  1534  1976  1546  3204 
 2155  1914  1560  1217  3156 
 1755  1849  1623  1530  3263 
 2064  1555  1544  1545  3147 
 2091  1473  1873  1331  3110 
 1973  1541  1888  1658  3264 
 2136  1595  1790  1419  3164 
 1829  1556  2015  1692  3275 
 1896  1735  1477  1676  3129 
 2138  1618  1647  1654  3304 
 1976  1660  2029  1488  3322 
 1878  1530  1778  1594  3135 
 2130  1688  1528  1509  3163 
 1860  1607  1686  1559  3027 
 2105  1635  1900  1244  3080 
 1935  1703  1864  1527  3244 
 1815  1568  1604  1818  3200 
 2211  1861  1489  1362  3180 
 1962  1627  1821  1413  3184 
 1886  1518  1677  1742  3176 
 2029  1784  1633  1474  3201 
 1865  1638  2066  1421  3189 
 1926  1551  1838  1320  3173 
 1963  1376  1862  1726  3225 
 1889  1898  1855  1288  3213 
 1841  1990  1592  1560  3224 
 1892  1899  1535  1536  3194 
 1752  1857  1714  1447  3206 
 1808  1594  1728  1561  3204 
 1861  1743  1758  1301  3112 
 1903  1498  2014  1440  3118 
 1618  1591  1853  1732  3227 
 1861  1643  1789  1618  3106 
 2080  1532  1636  1706  3168 
 1694  1687  1654  1858  3178 
 1980  1780  1819  1380  3147 
 2137  1555  1547  1640  3223 
 1409   932   878   966  1543 
 1944  1693  1652  1398  3120 
 2168  1387  1776  1719  3285 
 1636  1642  1601  1652  3035 
 1893  1722  1529  1481  3053 
 2170  1604  1783  1442  3208 
 2023  1761  1823  1635  3254 
 1686  1879  1606  1589  3147 
 2131  1489  1838  1522  3160 
 1672  1665  2006  1388  3100 
 1896  1753  1764  1585  3268 
 2005  1752  1747  1559  3343 
 1471  1891  1711  1710  3165 
 2107  1596  1498  1713  3168 
 2033  1833  1291  1735  3194 
 1353  1759  1964  1537  3100 
 2259  1646  1813  1133  3205 
 2095  1789  1629  1555  3286 
 2342  1558  1710  1377  3246 
 2042  1488  1734  1832  3210 
 1677  1671  1358  1836  3119 
 2033  1639  1610  1499  3181 
 1901  1821  1623  1654  3233 
 1787  1951  1453  1448  3147 
 2204  1624  1917  1433  3265 
 2139  1596  1715  1672  3202 
 1866  1996  1684  1360  3209 
 2002  1497  1839  1498  3042 
 2115  1539  1844  1515  3206 
 1714  1521  2036  1368  3086 
 1826  1639  1657  1673  3054 
 1674  1881  1774  1369  3146 
 2264  1385  1663  1683  3251 
 2045  1629  1706  1760  3270 
 1876  1897  1773  1285  3193 
 1941  1808  1724  1677  3293 
 2404  1684  1209  1759  3180 
 1945  1632  1750  1723  3284 
 1973  1763  1412  1384  3126 
 2026  1504  1719  1697  3233 
 1776  1809  1401  1795  3207 
 1983  1583  1802  1329  3131 
 2012  1781  1792  1482  3251 
 1579  1785  1899  1513  3142 
 1646  1522  2045  1656  3237 
 1708  1767  1571  1638  3148 
 2300  1782  1722  1299  3243 
 1874  1867  1742  1320  3139 
 2089  1556  1762  1625  3215 
 2167  1586  1555  1735  3339 
