  A1    A2    A3    A4    Cathode
  762   502   447   638   436 
  719   453   675   621   450 
  623   569   499   470   428 
  580   507   536   577   450 
  624   789   361   586   457 
  798   616   440   579   445 
  867   488   547   455   433 
  934   464   522   452   418 
  754   478   607   517   459 
  806   475   596   505   453 
  841   647   363   535   441 
  696   535   492   540   427 
  875   612   562   400   460 
  786   428   395   492   462 
  727   603   530   470   436 
  840   528   597   455   453 
  907   568   394   444   432 
  649   575   504   508   427 
  895   497   711   375   458 
  702   571   496   493   423 
  776   564   607   391   466 
  827   481   446   529   446 
  680   502   520   429   429 
  630   764   409   499   454 
  782   573   387   491   446 
  757   681   469   393   442 
  692   456   509   499   470 
  622   535   517   444   444 
 1029   508   441   370   454 
  639   550   645   514   438 
  695   539   468   535   435 
  792   423   477   564   450 
  647   695   488   569   455 
  584   592   681   678   430 
  772   558   575   511   440 
  922   627   816   513   439 
  675   663   431   467   446 
  998   465   447   475   446 
  642   579   365   596   440 
  721   434   702   500   435 
  694   634   472   524   455 
  695   672   490   439   460 
  732   534   620   370   440 
  760   819   547   455   436 
  670   560   392   681   423 
  697   640   517   674   431 
  892   604   431   570   513 
  858   562   411   638   487 
  748   402   594   469   446 
  775   554   595   370   444 
  721   558   443   416   448 
  864   721   362   623   436 
  715   477   614   524   437 
  824   663   472   450   427 
  680   671   411   605   473 
 1035   606   415   527   448 
  847   367   610   560   450 
  843   594   380   569   437 
  811   545   825   371   438 
  655   557   503   421   439 
  782   547   574   383   430 
  970   743   404   435   469 
  679   579   431   639   457 
  619   635   520   431   437 
  646   514   491   711   430 
  788   686   449   549   444 
  927   621   505   456   430 
  656   763   535   378   463 
  791   532   517   499   429 
  687   676   444   528   460 
  743   554   370   470   456 
  741   597   507   525   444 
  909   484   551   547   433 
  670   573   573   591   446 
  578   664   436   638   452 
  981   712   452   383   445 
  671   577   635   466   436 
  909   482   452   566   457 
  851   588   658   483   425 
  798   491   643   543   445 
  767   515   387   681   445 
  812   579   648   502   434 
  933   511   651   388   424 
  872   651   451   547   443 
  925   634   399   427   437 
  809   527   630   393   455 
  866   734   380   397   450 
  696   597   626   494   436 
  644   651   494   391   435 
  692   585   612   429   458 
  800   590   465   489   436 
  799   566   641   532   430 
  724   441   679   499   453 
  665   713   427   824   433 
  794   561   432   385   434 
  918   543   381   437   456 
  618   864   619   409   453 
  929   527   435   419   450 
 1094   451   482   515   439 
  884   581   546   413   438 
  661   524   486   397   448 
  778   568   437   435   467 
  549   616   442   685   454 
  748   596   362   420   443 
  781   631   609   399   442 
  738   698   366   515   451 
  766   460   588   462   475 
  587   466   551   503   442 
  689   546   403   423   464 
  820   463   450   644   439 
  700   629   515   685   456 
  873   383   445   451   442 
  862   555   362   462   427 
  747   503   425   541   417 
  977   556   422   393   429 
  782   908   550   377   472 
 1009   670   365   580   433 
  962   541   515   484   461 
  739   594   377   685   435 
  817   593   505   386   433 
  924   497   615   429   435 
 1005   685   450   462   450 
  819   565   563   552   423 
  762   546   520   421   435 
 1027   606   531   631   439 
  735   653   363   445   452 
  827   626   468   399   431 
  726   517   434   526   432 
  723   616   517   401   466 
  777   457   599   496   447 
  725   535   637   372   456 
  895   727   531   477   433 
  703   448   564   482   467 
  594   536   571   573   420 
  695   579   551   508   426 
  805   799   453   501   441 
  814   552   510   411   461 
  683   600   604   583   454 
  618   629   432   618   440 
  812   576   493   507   429 
  677   567   534   380   447 
  768   586   474   495   422 
  589   664   537   425   441 
  705   635   528   514   442 
  894   650   364   482   490 
  874   494   463   662   459 
  730   487   477   387   430 
  585   702   539   430   437 
  683   699   497   586   455 
  845   487   639   623   449 
  676   531   472   558   440 
  699   610   450   430   427 
  982   554   508   520   459 
  591   641   686   664   439 
  772   485   512   524   437 
 1051   754   613   370   465 
  792   469   428   387   444 
  769   610   442   459   450 
  831   666   425   564   416 
  712   499   436   510   439 
  766   458   446   473   432 
  688   525   420   529   422 
  761   724   373   417   434 
  750   567   487   448   429 
  692   593   408   433   428 
  631   560   514   718   424 
  728   527   407   443   438 
  938   567   455   379   432 
  924   632   364   429   444 
  748   618   484   379   441 
  796   573   545   432   422 
  712   599   574   544   434 
  884   790   512   550   440 
  532   692   626   469   431 
  766   511   662   376   430 
  787   567   528   514   444 
  713   616   566   424   435 
  561   626   537   828   433 
  738   635   382   390   461 
  720   721   494   480   446 
  848   654   390   376   444 
  711   461   607   377   430 
  837   578   639   373   465 
  796   706   363   538   441 
  909   558   547   491   430 
  644   358   518   562   442 
  789   745   600   370   449 
  938   488   441   398   481 
  837   486   362   581   423 
  715   578   690   446   425 
  814   632   456   464   426 
  931   497   674   420   437 
  666   614   515   518   430 
  951   550   401   550   435 
  831   580   537   470   443 
  827   575   440   468   439 
  778   585   381   602   469 
  706   553   571   412   441 
  895   524   567   403   427 
  864   675   543   616   427 
  935   645   757   484   454 
  935   685   567   413   456 
  782   595   424   619   429 
  751   615   651   605   420 
  910   455   406   555   434 
  723   605   496   474   440 
  718   578   575   504   460 
  773   461   499   459   455 
  787   480   497   657   428 
  799   633   463   470   440 
  646   632   448   641   459 
  914   571   526   546   437 
  706   621   371   522   452 
  894   578   562   462   456 
  715   573   503   432   443 
  798   564   547   445   424 
  641   605   490   555   417 
  743   663   557   514   454 
  685   520   395   722   441 
